Orthogroup	Allma1_GeneCatalog_proteins_20131203.aa	Blabri1_GeneCatalog_proteins_20160901.aa	Blastocladiella_emersonii_ATCC_22665.proteins	Catan2_GeneCatalog_proteins_20160412.aa	Chytriomyces_confervae_GCA_006535975_ASM653597v1_protein	Parsed1_GeneCatalog_proteins_20170905.aa	Rhihy1_GeneCatalog_proteins_20151219.aa	Total
OG0003184	2	1	1	1	1	1	1	8
OG0003185	1	1	1	1	1	1	2	8
OG0003186	2	1	1	1	1	1	1	8
OG0003187	2	1	1	1	1	1	1	8
OG0003188	3	1	1	2	0	1	0	8
OG0003189	2	1	1	1	1	1	1	8
OG0003190	2	1	1	1	1	1	1	8
OG0003191	2	1	1	1	1	1	1	8
OG0003192	2	1	1	1	1	1	1	8
OG0003193	2	1	1	1	1	1	1	8
OG0003194	2	1	1	1	1	1	1	8
OG0003195	2	1	1	1	1	1	1	8
OG0003196	2	1	1	1	1	1	1	8
OG0003197	2	1	1	1	1	1	1	8
OG0003198	2	1	1	1	0	2	1	8
OG0003199	2	1	1	1	1	1	1	8
OG0003200	2	1	1	3	0	1	0	8
OG0003201	2	1	1	1	1	1	1	8
OG0003202	2	1	1	1	1	1	1	8
OG0003203	2	1	1	1	1	1	1	8
OG0003204	2	1	1	1	1	1	1	8
OG0003205	4	1	1	1	1	0	0	8
OG0003206	2	1	1	1	1	1	1	8
OG0003207	2	1	1	1	1	1	1	8
OG0003208	2	1	1	1	1	1	1	8
OG0003209	2	1	1	1	1	1	1	8
OG0003210	2	1	1	1	1	1	1	8
OG0003211	2	1	1	1	1	1	1	8
OG0003212	2	1	1	1	1	1	1	8
OG0003213	2	1	1	1	1	1	1	8
OG0003214	2	1	1	1	1	1	1	8
OG0003215	2	1	1	1	1	1	1	8
OG0003216	2	1	1	1	1	1	1	8
OG0003217	2	1	1	1	1	1	1	8
OG0003218	2	1	1	1	1	1	1	8
OG0003219	2	1	1	1	1	2	0	8
OG0003220	3	2	3	0	0	0	0	8
OG0003221	2	1	1	1	1	1	1	8
OG0003222	1	1	3	1	0	1	1	8
OG0003223	3	1	1	1	0	1	1	8
OG0003224	1	1	1	1	1	1	2	8
OG0003225	2	1	1	1	1	1	1	8
OG0003226	2	1	1	1	1	1	1	8
OG0003227	8	0	0	0	0	0	0	8
OG0003228	2	1	1	1	1	1	1	8
OG0003229	2	1	1	1	1	1	1	8
OG0003230	2	1	1	1	1	1	1	8
OG0003231	2	1	1	1	1	1	1	8
OG0003232	3	1	1	2	0	1	0	8
OG0003233	2	1	1	1	1	1	1	8
OG0003234	2	1	1	1	1	1	1	8
OG0003235	2	1	1	1	1	1	1	8
OG0003236	2	1	1	1	1	1	1	8
OG0003237	2	1	1	1	1	1	1	8
OG0003238	2	1	1	1	1	1	1	8
OG0003239	2	1	1	1	1	1	1	8
OG0003240	2	1	1	1	1	1	1	8
OG0003241	2	1	1	1	1	1	1	8
OG0003242	2	1	1	1	1	1	1	8
OG0003243	2	1	0	0	1	3	1	8
OG0003244	2	1	1	1	1	1	1	8
OG0003245	2	1	1	1	1	1	1	8
OG0003246	3	1	1	1	0	1	1	8
OG0003247	3	2	1	2	0	0	0	8
OG0003248	2	1	1	0	0	1	3	8
OG0003249	2	1	1	1	1	1	1	8
OG0003250	2	1	1	1	1	1	1	8
OG0003251	2	1	1	1	1	1	1	8
OG0003252	2	0	0	0	1	1	4	8
OG0003253	2	1	1	1	1	1	1	8
OG0003254	2	1	1	1	2	0	1	8
OG0003255	2	1	1	1	0	1	2	8
OG0003256	2	1	1	1	1	1	1	8
OG0003257	2	1	1	1	1	1	1	8
OG0003258	5	1	1	1	0	0	0	8
OG0003259	1	1	1	1	2	0	2	8
OG0003260	1	5	1	1	0	0	0	8
OG0003261	4	0	1	1	0	2	0	8
OG0003262	2	1	1	1	1	1	1	8
OG0003263	2	1	1	1	1	1	1	8
OG0003264	4	1	1	1	0	1	0	8
OG0003265	2	1	1	1	1	1	1	8
OG0003266	2	1	1	1	1	1	1	8
OG0003267	2	1	1	1	0	2	1	8
OG0003268	2	1	1	1	1	1	1	8
OG0003269	2	1	1	1	1	1	1	8
OG0003270	2	1	1	1	1	1	1	8
OG0003271	2	1	1	1	1	1	1	8
OG0003272	1	1	1	1	0	4	0	8
OG0003273	2	1	1	1	1	1	1	8
OG0003274	2	1	1	0	1	1	2	8
OG0003275	2	1	1	1	1	1	1	8
OG0003276	2	1	1	1	1	1	1	8
OG0003277	2	1	1	1	1	1	1	8
OG0003278	2	1	1	1	1	1	1	8
OG0003279	2	1	1	1	1	1	1	8
OG0003280	2	1	1	1	1	1	1	8
OG0003281	2	0	1	5	0	0	0	8
OG0003282	2	1	1	1	1	1	1	8
OG0003283	2	1	1	1	1	1	1	8
OG0003284	2	1	1	1	1	1	1	8
OG0003285	8	0	0	0	0	0	0	8
OG0003286	2	1	1	1	1	1	1	8
OG0003287	3	1	1	1	0	1	1	8
OG0003288	2	1	1	1	1	1	1	8
OG0003289	2	1	1	1	1	1	1	8
OG0003290	2	1	1	1	1	1	1	8
OG0003291	2	1	1	1	1	1	1	8
OG0003292	2	1	1	2	1	1	0	8
OG0003293	2	1	1	1	1	1	1	8
OG0003294	2	1	1	1	1	1	1	8
OG0003295	2	1	1	1	1	1	1	8
OG0003296	2	1	1	1	1	1	1	8
OG0003297	2	1	1	1	1	1	1	8
OG0003298	2	1	1	1	1	1	1	8
OG0003299	2	1	1	1	1	1	1	8
OG0003300	2	1	1	1	1	1	1	8
OG0003301	3	1	0	1	0	2	1	8
OG0003302	2	1	1	1	1	1	1	8
OG0003303	2	1	1	1	1	1	1	8
OG0003304	2	1	1	1	1	1	1	8
OG0003305	3	1	1	1	0	1	1	8
OG0003306	2	1	1	1	1	1	1	8
OG0003307	2	1	1	1	1	1	1	8
OG0003308	2	1	1	1	1	1	1	8
OG0003309	2	1	1	1	1	1	1	8
OG0003310	2	1	1	1	1	1	1	8
OG0003311	2	1	1	1	1	1	1	8
OG0003312	2	1	1	1	1	1	1	8
OG0003313	2	1	1	1	1	1	1	8
OG0003314	3	1	1	1	1	0	1	8
OG0003315	2	1	1	1	1	1	1	8
OG0003316	2	1	1	1	1	1	1	8
OG0003317	2	1	1	1	1	1	1	8
OG0003318	2	1	1	1	1	1	1	8
OG0003319	5	1	0	2	0	0	0	8
OG0003320	2	1	1	1	1	1	1	8
OG0003321	2	1	1	1	1	1	1	8
OG0003322	2	1	1	1	1	1	1	8
OG0003323	2	1	1	1	1	1	1	8
OG0003324	2	1	0	1	2	1	1	8
OG0003325	2	1	1	1	1	1	1	8
OG0003326	2	1	1	1	1	1	1	8
OG0003327	2	1	1	1	1	1	1	8
OG0003328	2	1	1	1	1	1	1	8
OG0003329	2	0	0	2	2	0	2	8
OG0003330	3	1	1	1	1	0	1	8
OG0003331	2	1	1	1	1	1	1	8
OG0003332	2	1	1	1	1	1	1	8
OG0003333	2	1	1	1	1	1	1	8
OG0003334	2	1	1	1	1	1	1	8
OG0003335	2	1	1	1	1	1	1	8
OG0003336	2	1	1	0	2	1	1	8
OG0003337	3	1	1	1	0	2	0	8
OG0003338	2	1	1	1	1	1	1	8
OG0003339	2	1	1	1	1	1	1	8
OG0003340	2	1	1	1	1	1	1	8
OG0003341	2	1	1	1	1	1	1	8
OG0003342	2	1	1	1	1	1	1	8
OG0003343	3	1	1	1	0	1	1	8
OG0003344	2	1	1	1	1	1	1	8
OG0003345	2	1	1	1	1	1	1	8
OG0003346	2	1	1	1	1	1	1	8
OG0003347	2	1	1	1	1	1	1	8
OG0003348	2	1	1	1	1	1	1	8
OG0003349	2	1	1	1	1	1	1	8
OG0003350	2	1	1	1	1	1	1	8
OG0003351	2	1	1	1	0	1	2	8
OG0003352	2	1	1	1	1	1	1	8
OG0003353	2	1	1	1	1	1	1	8
OG0003354	2	1	1	1	1	1	1	8
OG0003355	2	1	1	1	1	1	1	8
OG0003356	2	0	1	4	0	1	0	8
OG0003357	2	1	1	1	1	1	1	8
OG0003358	2	1	1	1	1	1	1	8
OG0003359	2	1	1	1	1	1	1	8
OG0003360	2	1	1	1	1	1	1	8
OG0003361	2	1	1	1	1	1	1	8
OG0003362	2	1	1	1	1	1	1	8
OG0003363	2	1	1	1	1	1	1	8
OG0003364	4	1	1	1	0	1	0	8
OG0003365	2	1	1	1	1	1	1	8
OG0003366	2	1	1	1	1	1	1	8
OG0003367	2	1	1	1	1	1	1	8
OG0003368	2	1	1	1	1	1	1	8
OG0003369	2	1	1	1	1	1	1	8
OG0003370	2	1	1	1	1	1	1	8
OG0003371	2	1	1	1	1	1	1	8
OG0003372	2	1	1	1	1	1	1	8
OG0003373	2	1	1	1	1	1	1	8
OG0003374	2	3	1	1	0	1	0	8
OG0003375	2	1	1	1	1	1	1	8
OG0003376	2	1	1	1	1	1	1	8
OG0003377	2	1	1	0	1	1	2	8
OG0003378	2	2	0	1	2	1	0	8
OG0003379	8	0	0	0	0	0	0	8
OG0003380	2	1	1	1	1	1	1	8
OG0003381	1	1	1	1	1	2	1	8
OG0003382	1	1	1	1	1	1	2	8
OG0003383	2	1	1	1	1	1	1	8
OG0003384	2	1	1	1	1	1	1	8
OG0003385	2	1	1	1	1	1	1	8
OG0003386	2	1	1	1	1	1	1	8
OG0003387	2	1	1	1	1	0	2	8
OG0003388	2	1	1	1	1	1	1	8
OG0003389	2	1	1	1	1	1	1	8
OG0003390	2	1	1	1	1	1	1	8
OG0003391	1	1	1	2	1	1	1	8
OG0003392	2	1	1	1	1	1	1	8
OG0003393	2	1	1	2	1	1	0	8
OG0003394	1	1	1	1	2	1	1	8
OG0003395	2	1	1	1	1	1	1	8
OG0003396	2	1	1	1	1	1	1	8
OG0003397	2	1	1	2	0	1	1	8
OG0003398	2	1	1	1	1	1	1	8
OG0003399	2	1	1	1	1	1	1	8
OG0003400	2	1	1	1	1	1	1	8
OG0003401	3	1	1	1	0	1	1	8
OG0003402	2	1	1	1	1	1	1	8
OG0003403	2	0	1	2	1	1	1	8
OG0003404	2	1	1	1	2	1	0	8
OG0003405	2	1	1	1	1	1	1	8
OG0003406	1	1	1	1	2	1	1	8
OG0003407	2	1	1	1	1	1	1	8
OG0003408	2	1	1	1	1	1	1	8
OG0003409	2	1	1	1	1	1	1	8
OG0003410	5	0	1	1	0	1	0	8
OG0003411	2	1	1	1	1	1	1	8
OG0003412	2	1	1	1	0	1	2	8
OG0003413	2	1	1	1	1	1	1	8
OG0003414	2	1	1	0	1	2	1	8
OG0003415	2	1	2	1	0	1	1	8
OG0003416	2	1	1	1	1	1	1	8
OG0003417	2	1	1	1	1	1	1	8
OG0003418	1	1	1	1	2	1	1	8
OG0003419	4	1	1	1	0	1	0	8
OG0003420	2	1	1	1	1	1	1	8
OG0003421	2	1	1	1	1	1	1	8
OG0003422	4	1	1	1	0	1	0	8
OG0003423	2	1	1	1	1	1	1	8
OG0003424	2	1	1	1	1	1	1	8
OG0003425	2	1	1	1	1	1	1	8
OG0003426	2	1	1	1	1	1	1	8
OG0003427	1	1	1	1	2	1	1	8
OG0003428	2	1	1	1	1	1	1	8
OG0003429	1	1	1	1	2	1	1	8
OG0003430	2	1	1	1	1	1	1	8
OG0003431	2	1	1	1	1	1	1	8
OG0003432	2	1	1	1	1	1	1	8
OG0003433	2	1	1	1	1	1	1	8
OG0003434	2	1	1	1	1	1	1	8
OG0003435	2	1	1	1	1	1	1	8
OG0003436	5	1	1	1	0	0	0	8
OG0003437	2	1	1	1	1	1	1	8
OG0003438	2	1	1	1	1	1	1	8
OG0003439	2	1	1	1	1	1	1	8
OG0003440	3	1	1	1	0	2	0	8
OG0003441	2	1	1	1	1	1	1	8
OG0003442	2	1	1	1	1	1	1	8
OG0003443	2	1	1	1	1	1	1	8
OG0003444	2	1	1	1	1	1	1	8
OG0003445	2	0	1	1	0	3	1	8
OG0003446	2	1	1	1	1	1	1	8
OG0003447	3	1	1	0	0	2	1	8
OG0003448	2	3	2	1	0	0	0	8
OG0003449	3	1	1	1	0	2	0	8
OG0003450	2	1	1	1	1	1	1	8
OG0003451	2	1	1	1	1	1	1	8
OG0003452	2	1	1	1	1	1	1	8
OG0003453	5	1	1	1	0	0	0	8
OG0003454	2	1	1	1	1	1	1	8
OG0003455	2	1	1	1	1	1	1	8
OG0003456	2	1	1	1	1	1	1	8
OG0003457	2	1	1	1	1	1	1	8
OG0003458	2	1	1	1	1	1	1	8
OG0003459	2	1	1	1	1	1	1	8
OG0003460	2	1	1	1	1	1	1	8
OG0003461	8	0	0	0	0	0	0	8
OG0003462	2	1	1	1	1	1	1	8
OG0003463	2	1	1	1	1	1	1	8
OG0003464	2	1	1	1	1	1	1	8
OG0003465	2	1	1	1	1	1	1	8
OG0003466	2	1	1	1	1	1	1	8
OG0003467	3	2	1	1	0	1	0	8
OG0003468	2	1	1	1	0	1	2	8
OG0003469	2	1	1	1	1	1	1	8
OG0003470	2	1	1	1	1	1	1	8
OG0003471	2	1	1	1	1	1	1	8
OG0003472	2	1	1	1	1	1	1	8
OG0003473	2	1	1	1	1	1	1	8
OG0003474	2	1	1	1	1	1	1	8
OG0003475	2	1	1	1	1	1	1	8
OG0003476	2	1	1	1	1	1	1	8
OG0003477	2	3	1	2	0	0	0	8
OG0003478	2	1	1	1	1	1	1	8
OG0003479	2	1	1	1	1	1	1	8
OG0003480	2	1	1	1	1	1	1	8
OG0003481	5	1	1	1	0	0	0	8
OG0003482	2	1	1	1	1	1	1	8
OG0003483	4	1	1	1	0	1	0	8
OG0003484	2	1	1	1	0	1	2	8
OG0003485	2	1	1	1	1	1	1	8
OG0003486	2	2	1	1	0	2	0	8
OG0003487	2	1	1	2	1	1	0	8
OG0003488	2	1	1	1	1	1	1	8
OG0003489	2	1	1	1	1	1	1	8
OG0003490	2	1	1	1	0	1	2	8
OG0003491	2	1	1	1	1	1	1	8
OG0003492	2	1	1	2	0	2	0	8
OG0003493	2	1	1	1	1	1	1	8
OG0003494	2	1	1	1	1	1	1	8
OG0003495	2	1	1	1	0	0	3	8
OG0003496	5	1	1	1	0	0	0	8
OG0003497	2	1	1	1	1	1	1	8
OG0003498	4	1	1	1	0	1	0	8
OG0003499	2	1	1	0	1	1	2	8
OG0003500	2	1	1	1	1	2	0	8
OG0003501	2	1	1	1	1	1	1	8
OG0003502	2	1	1	1	1	1	1	8
OG0003503	4	1	1	1	0	1	0	8
OG0003504	1	1	1	1	2	1	1	8
OG0003505	2	1	1	1	1	1	1	8
OG0003506	2	1	1	1	1	1	1	8
OG0003507	2	1	1	2	1	0	1	8
OG0003508	2	1	1	1	1	1	1	8
OG0003509	2	1	1	1	1	1	1	8
OG0003510	2	1	1	0	0	1	3	8
OG0003511	2	2	0	1	1	1	1	8
OG0003512	2	1	1	1	1	1	1	8
OG0003513	2	1	1	1	1	1	1	8
OG0003514	2	1	1	1	1	1	1	8
OG0003515	2	1	1	1	1	1	1	8
OG0003516	2	1	1	1	1	1	1	8
OG0003517	2	1	1	1	1	1	1	8
OG0003518	2	1	1	1	1	1	1	8
OG0003519	2	1	1	1	1	1	1	8
OG0003520	2	1	1	0	1	1	2	8
OG0003521	2	1	1	1	1	1	1	8
OG0003522	2	1	1	1	1	1	1	8
OG0003523	2	1	1	1	1	1	1	8
OG0003524	2	1	1	1	1	1	1	8
OG0003525	2	0	1	1	1	2	1	8
OG0003526	2	1	1	1	1	1	1	8
OG0003527	2	1	1	1	1	1	1	8
OG0003528	1	1	1	1	1	0	3	8
OG0003529	2	1	1	1	1	1	1	8
OG0003530	1	0	1	1	2	1	2	8
OG0003531	2	1	1	1	1	1	1	8
OG0003532	5	1	1	1	0	0	0	8
OG0003533	2	1	1	0	2	1	1	8
OG0003534	2	1	1	1	1	1	1	8
OG0003535	6	1	1	0	0	0	0	8
OG0003536	2	1	1	1	1	1	1	8
OG0003537	2	1	1	1	1	1	1	8
OG0003538	2	1	1	1	1	1	1	8
OG0003539	2	1	1	2	0	2	0	8
OG0003540	3	2	1	1	0	1	0	8
OG0003541	2	1	1	1	1	1	1	8
OG0003542	2	1	1	1	1	1	1	8
OG0003543	8	0	0	0	0	0	0	8
OG0003544	2	1	1	1	1	1	1	8
OG0003545	3	1	1	1	0	1	1	8
OG0003546	2	1	1	1	1	1	1	8
OG0003547	3	1	1	1	0	1	1	8
OG0003548	2	1	1	1	1	1	1	8
OG0003549	2	1	1	1	1	1	1	8
OG0003550	2	1	1	1	1	1	1	8
OG0003551	2	1	1	1	1	1	1	8
OG0003552	2	1	1	1	1	1	1	8
OG0003553	5	1	1	1	0	0	0	8
OG0003554	2	1	1	1	1	1	1	8
OG0003555	4	1	1	1	0	1	0	8
OG0003556	2	1	1	1	1	1	1	8
OG0003557	2	1	1	1	1	1	1	8
OG0003558	2	1	1	1	1	1	1	8
OG0003559	4	1	1	1	0	1	0	8
OG0003560	2	1	1	1	1	1	1	8
OG0003561	2	1	1	1	1	1	1	8
OG0003562	2	1	1	1	1	1	1	8
OG0003563	2	1	1	1	1	1	1	8
OG0003564	2	1	1	1	1	1	1	8
OG0003565	4	1	1	2	0	0	0	8
OG0003566	3	1	1	1	0	1	1	8
OG0003567	2	1	1	1	2	0	1	8
OG0003568	2	1	1	1	1	1	1	8
OG0003569	2	1	1	1	1	1	1	8
OG0003570	3	2	1	2	0	0	0	8
OG0003571	2	1	1	1	1	1	1	8
OG0003572	3	2	1	1	0	1	0	8
OG0003573	3	1	1	1	0	1	1	8
OG0003574	3	1	0	1	1	1	1	8
OG0003575	2	1	1	1	1	1	1	8
OG0003576	5	1	1	1	0	0	0	8
OG0003577	2	1	1	1	1	1	1	8
OG0003578	2	1	1	1	1	1	1	8
OG0003579	2	1	1	1	1	1	1	8
OG0003580	2	1	1	1	1	1	1	8
OG0003581	2	1	1	1	1	1	1	8
OG0003582	2	1	1	1	0	1	2	8
OG0003583	2	1	1	1	1	1	1	8
OG0003584	2	1	1	1	1	1	1	8
OG0003585	2	1	1	1	1	1	1	8
OG0003586	1	1	1	2	1	1	1	8
OG0003587	1	1	1	1	1	0	3	8
OG0003588	2	1	1	1	1	1	1	8
OG0003589	2	1	2	1	1	0	1	8
OG0003590	2	1	1	1	1	1	1	8
OG0003591	2	1	1	1	1	1	1	8
OG0003592	2	1	1	1	1	1	1	8
OG0003593	2	1	1	1	1	1	1	8
OG0003594	2	1	1	1	1	1	1	8
OG0003595	2	1	1	1	1	1	1	8
OG0003596	2	1	0	1	1	2	1	8
OG0003597	1	1	1	1	1	2	1	8
OG0003598	2	1	1	1	1	1	1	8
OG0003599	2	1	1	1	1	1	1	8
OG0003600	2	1	1	1	1	1	1	8
OG0003601	2	1	1	1	1	1	1	8
OG0003602	2	1	1	1	1	1	1	8
OG0003603	2	1	1	1	1	1	1	8
OG0003604	2	1	1	1	1	1	1	8
OG0003605	2	1	1	1	1	1	1	8
OG0003606	2	1	1	0	2	1	1	8
OG0003607	2	1	1	1	1	1	1	8
OG0003608	2	0	1	1	1	1	2	8
OG0003609	3	1	1	1	1	1	0	8
OG0003610	2	1	1	1	1	1	1	8
OG0003611	2	1	1	1	1	1	1	8
OG0003612	2	1	1	1	1	1	1	8
OG0003613	3	1	1	1	0	1	1	8
OG0003614	2	1	1	1	1	1	1	8
OG0003615	2	1	1	1	1	1	1	8
OG0003616	2	1	1	1	1	1	1	8
OG0003617	2	1	1	1	1	1	1	8
OG0003618	2	1	1	1	1	1	1	8
OG0003619	2	1	1	1	1	1	1	8
OG0003620	3	1	1	1	0	1	1	8
OG0003621	2	4	1	1	0	0	0	8
OG0003622	2	2	1	1	0	2	0	8
OG0003623	2	1	1	1	1	1	1	8
OG0003624	2	1	1	3	0	1	0	8
OG0003625	2	1	1	1	1	1	1	8
OG0003626	2	1	1	1	1	1	1	8
OG0003627	3	1	1	2	0	1	0	8
OG0003628	2	1	1	1	1	1	1	8
OG0003629	2	1	1	1	1	1	1	8
OG0003630	2	1	1	1	1	1	1	8
OG0003631	2	1	1	1	1	1	1	8
OG0003632	3	1	1	1	1	1	0	8
OG0003633	1	1	1	1	1	2	1	8
OG0003634	2	1	1	1	1	1	1	8
OG0003635	2	1	1	1	1	1	1	8
OG0003636	3	1	1	1	0	1	1	8
OG0003637	3	1	1	1	1	0	1	8
OG0003638	2	1	1	1	1	1	1	8
OG0003639	2	1	1	1	1	1	1	8
OG0003640	2	1	1	1	1	1	1	8
OG0003641	2	1	1	1	1	1	1	8
OG0003642	2	1	1	1	1	1	1	8
OG0003643	2	1	1	1	1	1	1	8
OG0003644	2	1	1	1	1	1	1	8
OG0003645	2	1	1	1	1	1	1	8
OG0003646	2	1	1	1	1	1	1	8
OG0003647	2	1	1	1	1	1	1	8
OG0003648	2	1	1	1	1	1	1	8
OG0003649	2	1	1	1	1	1	1	8
OG0003650	2	1	1	1	1	1	1	8
OG0003651	2	1	1	1	1	1	1	8
OG0003652	2	1	1	0	2	1	1	8
OG0003653	3	0	1	1	1	1	1	8
OG0003654	2	1	1	1	1	1	1	8
OG0003655	1	1	2	1	1	1	1	8
OG0003656	5	0	1	1	0	1	0	8
OG0003657	2	1	1	1	1	1	1	8
OG0003658	2	1	1	1	1	1	1	8
OG0003659	2	1	1	1	1	1	1	8
OG0003660	2	1	1	1	1	1	1	8
OG0003661	2	1	1	1	1	1	1	8
OG0003662	3	1	1	1	0	1	1	8
OG0003663	2	1	1	1	1	1	1	8
OG0003664	2	1	1	1	1	1	1	8
OG0003665	2	1	1	1	1	1	1	8
OG0003666	2	1	1	1	1	1	1	8
OG0003667	2	1	1	1	1	1	1	8
OG0003668	2	1	1	1	1	1	1	8
OG0003669	8	0	0	0	0	0	0	8
OG0003670	2	1	1	1	1	1	1	8
OG0003671	8	0	0	0	0	0	0	8
OG0003672	2	1	1	1	1	1	1	8
OG0003673	2	1	1	1	1	1	1	8
OG0003674	2	1	1	1	1	1	1	8
OG0003675	2	1	1	1	1	1	1	8
OG0003676	2	1	1	1	1	1	1	8
OG0003677	2	1	1	1	1	1	1	8
OG0003678	2	1	1	1	1	1	1	8
OG0003679	2	1	1	1	1	1	1	8
OG0003680	3	1	1	1	1	1	0	8
OG0003681	2	1	1	1	1	1	1	8
OG0003682	4	1	1	1	0	1	0	8
OG0003683	2	1	1	1	1	1	1	8
OG0003684	2	1	1	1	1	1	1	8
OG0003685	2	0	1	1	2	1	1	8
OG0003686	2	1	1	1	1	1	1	8
OG0003687	2	1	1	1	1	1	1	8
OG0003688	2	1	1	1	1	1	1	8
OG0003689	2	1	1	1	1	1	1	8
OG0003690	2	1	1	1	1	1	1	8
OG0003691	2	0	1	0	1	1	3	8
OG0003692	2	1	1	1	2	1	0	8
OG0003693	1	1	1	1	1	1	2	8
OG0003694	2	1	1	1	2	0	1	8
OG0003695	2	1	1	1	1	1	1	8
OG0003696	4	1	1	1	0	0	1	8
OG0003697	2	1	1	1	1	1	1	8
OG0003698	4	1	1	1	0	1	0	8
OG0003699	2	1	1	1	1	1	1	8
OG0003700	2	1	1	1	1	1	1	8
OG0003701	3	1	0	1	1	1	1	8
OG0003702	2	1	1	1	1	1	1	8
OG0003703	2	1	1	1	1	1	1	8
OG0003704	2	1	1	1	1	1	1	8
OG0003705	2	1	1	1	1	1	1	8
OG0003706	2	1	1	1	1	1	1	8
OG0003707	2	1	1	1	1	1	1	8
OG0003708	2	1	1	1	1	1	1	8
OG0003709	2	1	1	1	1	1	1	8
OG0003710	2	1	1	1	1	1	1	8
OG0003711	2	1	1	1	1	1	1	8
OG0003712	2	1	1	1	0	2	1	8
OG0003713	2	1	1	1	1	1	1	8
OG0003714	2	1	1	1	1	1	1	8
OG0003715	2	1	1	1	1	1	1	8
OG0003716	2	1	1	1	1	1	1	8
OG0003717	2	1	1	1	1	1	1	8
OG0003718	3	1	1	1	0	1	1	8
OG0003719	2	1	1	1	1	1	1	8
OG0003720	2	1	1	1	1	1	1	8
OG0003721	4	2	1	1	0	0	0	8
OG0003722	2	1	1	1	1	1	1	8
OG0003723	2	1	1	1	1	1	1	8
OG0003724	2	1	1	1	1	1	1	8
OG0003725	3	1	1	1	0	2	0	8
OG0003726	2	1	1	1	1	1	1	8
OG0003727	2	1	1	1	1	1	1	8
OG0003728	2	1	1	1	1	1	1	8
OG0003729	4	1	2	0	0	1	0	8
OG0003730	2	1	1	1	1	1	1	8
OG0003731	2	1	1	1	1	1	1	8
OG0003732	3	1	1	1	0	1	1	8
OG0003733	2	1	1	1	1	1	1	8
OG0003734	2	1	1	1	1	1	1	8
OG0003735	2	1	1	1	1	1	1	8
OG0003736	2	1	1	1	1	1	1	8
OG0003737	2	1	1	1	1	1	1	8
OG0003738	2	1	1	1	1	1	1	8
OG0003739	2	1	1	1	1	1	1	8
OG0003740	2	1	1	1	1	1	1	8
OG0003741	2	1	1	1	1	1	1	8
OG0003742	2	1	1	1	1	1	1	8
OG0003743	2	1	1	1	1	1	1	8
OG0003744	2	1	1	1	1	1	1	8
OG0003745	4	1	1	1	0	1	0	8
OG0003746	2	1	1	1	1	1	1	8
OG0003747	2	1	1	1	1	1	1	8
OG0003748	2	1	1	1	1	1	1	8
OG0003749	2	1	1	1	1	1	1	8
OG0003750	2	1	1	1	1	1	1	8
OG0003751	2	1	1	1	1	1	1	8
OG0003752	2	1	1	1	1	1	1	8
OG0003753	2	1	1	1	1	1	1	8
OG0003754	2	1	1	1	1	1	1	8
OG0003755	2	1	1	1	1	1	1	8
OG0003756	1	1	1	1	2	1	1	8
OG0003757	1	1	1	1	2	1	1	8
OG0003758	2	1	1	1	1	1	1	8
OG0003759	2	1	1	1	1	1	1	8
OG0003760	2	1	1	1	1	1	1	8
OG0003761	2	1	1	1	1	1	1	8
OG0003762	2	1	1	1	1	1	1	8
OG0003763	2	1	1	1	1	1	1	8
OG0003764	2	1	1	1	1	1	1	8
OG0003765	2	1	2	1	1	0	1	8
OG0003766	1	1	1	1	1	1	2	8
OG0003767	2	1	1	1	1	1	1	8
OG0003768	2	1	1	1	1	1	1	8
OG0003769	2	1	1	1	1	1	1	8
OG0003770	2	1	1	1	1	1	1	8
OG0003771	2	0	0	3	1	1	1	8
OG0003772	2	1	1	1	1	1	1	8
OG0003773	2	1	1	1	1	1	1	8
OG0003774	2	1	1	1	0	1	2	8
OG0003775	2	1	1	1	1	1	1	8
OG0003776	2	1	1	1	1	1	1	8
OG0003777	2	1	1	1	1	1	1	8
OG0003778	2	1	1	1	1	1	1	8
OG0003779	2	1	1	1	1	1	1	8
OG0003780	2	1	1	1	1	1	1	8
OG0003781	2	1	1	1	1	1	1	8
OG0003782	3	1	1	1	0	2	0	8
OG0003783	3	1	1	1	0	1	1	8
OG0003784	2	1	1	1	1	1	1	8
OG0003785	2	1	1	1	1	1	1	8
OG0003786	2	1	1	1	1	1	1	8
OG0003787	2	1	1	1	1	1	1	8
OG0003788	5	1	1	1	0	0	0	8
OG0003789	2	1	1	1	1	1	1	8
OG0003790	2	1	1	1	1	1	1	8
OG0003791	2	1	1	1	1	1	1	8
OG0003792	2	1	1	1	1	1	1	8
OG0003793	2	1	1	1	1	1	1	8
OG0003794	2	1	1	1	1	1	1	8
OG0003795	5	1	1	1	0	0	0	8
OG0003796	2	1	1	1	1	1	1	8
OG0003797	2	1	1	1	1	1	1	8
OG0003798	2	0	1	1	1	1	2	8
OG0003799	2	1	1	1	1	1	1	8
OG0003800	2	1	1	1	1	1	1	8
OG0003801	2	1	1	1	1	1	1	8
OG0003802	2	1	1	1	1	1	1	8
OG0003803	2	1	1	1	1	1	1	8
OG0003804	2	1	1	1	1	1	1	8
OG0003805	2	1	1	1	1	1	1	8
OG0003806	3	1	1	2	0	1	0	8
OG0003807	2	1	1	1	1	1	1	8
OG0003808	2	1	1	1	1	1	1	8
OG0003809	2	1	1	1	1	1	1	8
OG0003810	2	1	1	2	1	0	1	8
